Date,Open,High,Low,Close
04-01-2022,"1,19,082.27","1,21,578.84","1,18,060.65","1,21,570.15"
03/25/2022,"1,15,306.78","1,19,728.70","1,15,207.78","1,19,081.13"
03/18/2022,"1,11,715.79","1,15,310.91","1,07,780.86","1,15,310.91"
03-11-2022,"1,14,468.77","1,14,627.23","1,10,969.26","1,11,713.07"
03-04-2022,"1,13,143.06","1,15,947.68","1,13,143.06","1,14,473.78"
02/25/2022,"1,12,880.28","1,13,721.38","1,09,125.24","1,13,141.94"
02/18/2022,"1,13,643.00","1,15,734.45","1,12,701.12","1,12,879.85"
02-11-2022,"1,12,247.11","1,14,899.26","1,10,943.44","1,13,572.35"
02-04-2022,"1,11,910.27","1,13,665.90","1,10,320.84","1,12,244.94"
01/28/2022,"1,08,941.15","1,13,057.03","1,06,624.28","1,11,910.10"
01/21/2022,"1,06,926.84","1,09,873.35","1,05,786.09","1,08,941.68"
01/14/2022,"1,02,719.00","1,07,061.73","1,01,037.81","1,06,927.79"
01-07-2022,"1,04,823.42","1,06,125.47","1,00,849.56","1,02,719.47"
12/30/2021,"1,04,891.96","1,05,694.47","1,03,850.81","1,04,822.44"
12/23/2021,"1,07,171.21","1,07,171.21","1,04,357.81","1,04,891.32"
12/17/2021,"1,07,758.34","1,09,492.91","1,05,696.96","1,07,200.56"
12-10-2021,"1,05,069.69","1,08,655.20","1,05,069.69","1,07,758.34"
12-03-2021,"1,02,226.78","1,06,813.73","1,00,074.61","1,05,069.69"
11/26/2021,"1,03,036.02","1,06,400.41","1,01,494.70","1,02,224.26"
11/19/2021,"1,06,335.67","1,06,971.20","1,02,013.98","1,03,035.02"
11-12-2021,"1,04,824.32","1,08,669.18","1,04,182.49","1,06,334.54"
11-05-2021,"1,03,513.62","1,06,754.42","1,02,835.17","1,04,824.23"
10/29/2021,"1,06,297.51","1,09,371.98","1,03,429.77","1,03,500.71"
10/22/2021,"1,14,646.73","1,14,926.85","1,02,853.96","1,06,296.18"
10/15/2021,"1,12,833.85","1,14,776.05","1,11,807.17","1,14,647.99"
10-08-2021,"1,12,899.68","1,14,171.97","1,08,179.76","1,12,833.20"
10-01-2021,"1,13,282.89","1,14,432.23","1,09,980.95","1,12,899.64"
09/24/2021,"1,11,434.67","1,14,329.73","1,07,520.14","1,13,282.67"
09/17/2021,"1,14,300.47","1,17,269.82","1,11,156.65","1,11,439.37"
09-10-2021,"1,16,925.96","1,17,981.03","1,12,435.11","1,14,285.93"
09-03-2021,"1,20,677.33","1,20,684.47","1,15,582.88","1,16,933.24"
08/27/2021,"1,18,052.54","1,20,833.24","1,17,062.04","1,20,677.60"
08/20/2021,"1,21,191.45","1,21,191.45","1,14,801.00","1,18,052.77"
08/13/2021,"1,22,808.96","1,23,597.30","1,20,044.65","1,21,193.75"
08-06-2021,"1,21,802.61","1,24,536.25","1,20,807.02","1,22,810.36"
