Date,Open,High,Low,Close,,
06-20-2023,"1,19,857.76","1,19,857.76","1,18,415.66","1,19,622.40",,
06-19-2023,"1,18,756.79","1,19,939.00","1,18,557.81","1,19,857.76",,
06-16-2023,"1,19,208.35","1,19,554.92","1,18,487.30","1,18,758.42",,
06-15-2023,"1,19,068.45","1,19,686.12","1,18,692.80","1,19,221.00",,
06-14-2023,"1,16,753.31","1,19,084.50","1,16,744.58","1,19,068.77",,
06-13-2023,"1,17,337.35","1,17,924.06","1,16,363.43","1,16,742.71",,
06-12-2023,"1,17,021.59","1,17,734.99","1,16,704.14","1,17,336.34",,
06-09-2023,"1,15,488.91","1,17,602.97","1,15,488.91","1,17,019.48",,
06-07-2023,"1,14,610.22","1,15,978.12","1,14,610.22","1,15,488.16",,
06-06-2023,"1,12,697.26","1,14,782.66","1,12,695.60","1,14,610.10",,
06-05-2023,"1,12,558.15","1,13,071.20","1,11,736.44","1,12,696.32",,
06-02-2023,"1,10,568.40","1,13,069.55","1,10,567.44","1,12,558.15",,
06-01-2023,"1,08,339.14","1,10,745.40","1,08,334.59","1,10,564.66",,
05-31-2023,"1,08,967.03","1,09,136.79","1,08,193.41","1,08,335.07",,
05-30-2023,"1,10,333.40","1,11,290.69","1,08,551.51","1,08,967.03",,
05-29-2023,"1,10,905.81","1,11,168.05","1,10,195.11","1,10,333.40",,
05-26-2023,"1,10,057.62","1,11,705.53","1,09,900.40","1,10,905.51",,
05-25-2023,"1,08,799.60","1,11,114.53","1,08,799.60","1,10,054.38",,
05-24-2023,"1,09,919.92","1,09,919.92","1,08,546.09","1,08,799.54",,
05-23-2023,"1,10,212.54","1,11,324.70","1,09,713.06","1,09,928.53",,
05-22-2023,"1,10,744.91","1,11,643.30","1,10,178.19","1,10,213.12",,
05-19-2023,"1,10,113.00","1,11,211.29","1,09,786.92","1,10,744.51",,
05-18-2023,"1,09,459.33","1,10,205.74","1,08,864.44","1,10,108.46",,
05-17-2023,"1,08,194.11","1,09,773.75","1,08,188.17","1,09,459.95",,
05-16-2023,"1,09,029.12","1,10,151.03","1,08,085.20","1,08,193.68",,
05-15-2023,"1,08,469.09","1,09,270.58","1,08,356.35","1,09,029.12",,
05-12-2023,"1,08,255.65","1,08,816.78","1,07,496.89","1,08,463.84",,
05-11-2023,"1,07,446.09","1,08,666.85","1,06,419.28","1,08,256.40",,
05-10-2023,"1,07,113.66","1,07,744.37","1,06,538.01","1,07,448.21",,
05-09-2023,"1,06,027.51","1,07,731.10","1,05,549.08","1,07,113.66",,
05-08-2023,"1,05,161.13","1,06,715.75","1,05,161.13","1,06,042.15",,
05-05-2023,"1,02,174.73","1,05,305.64","1,02,174.73","1,05,148.48",,
05-04-2023,"1,01,797.91","1,03,320.81","1,01,063.49","1,02,174.34",,
05-03-2023,"1,01,926.95","1,02,331.07","1,01,433.34","1,01,797.09",,
05-02-2023,"1,04,431.23","1,04,446.78","1,01,569.48","1,01,926.95",,
04-28-2023,"1,02,922.70","1,04,431.63","1,02,448.52","1,04,431.63",,
04-27-2023,"1,02,309.98","1,03,177.38","1,01,975.35","1,02,923.31",,
04-26-2023,"1,03,220.09","1,03,667.52","1,02,233.43","1,02,312.10",,
04-25-2023,"1,03,946.58","1,03,946.58","1,02,633.10","1,03,220.09",,
04-24-2023,"1,04,366.82","1,04,821.97","1,03,247.04","1,03,946.58",,
04-20-2023,"1,03,913.47","1,04,615.18","1,03,086.98","1,04,366.82",,
04-19-2023,"1,06,148.97","1,06,148.97","1,03,603.70","1,03,912.94",,
04-18-2023,"1,06,022.52","1,06,474.75","1,05,121.74","1,06,163.23",,
04-17-2023,"1,06,279.37","1,06,829.81","1,05,622.91","1,06,015.67",,
04-14-2023,"1,06,457.58","1,06,700.62","1,04,934.09","1,06,279.37",,
04-13-2023,"1,06,889.71","1,07,037.28","1,06,219.71","1,06,457.85",,
04-12-2023,"1,06,217.90","1,08,277.02","1,06,216.58","1,06,889.71",,
04-11-2023,"1,01,848.94","1,06,455.33","1,01,847.79","1,06,213.76",,
04-10-2023,"1,00,821.82","1,02,195.62","1,00,819.10","1,01,846.64",,
04-06-2023,"1,00,977.85","1,01,627.96","1,00,442.96","1,00,821.73",,
04-05-2023,"1,01,869.09","1,01,960.48","99,897.78","1,00,977.85",,
04-04-2023,"1,01,517.23","1,03,055.92","1,01,504.82","1,01,869.45",,
04-03-2023,"1,01,883.21","1,01,915.71","1,00,650.55","1,01,506.18",,
03-31-2023,"1,03,714.34","1,04,040.62","1,01,475.57","1,01,882.20",,
03-30-2023,"1,01,795.79","1,04,085.40","1,01,795.79","1,03,713.45",,
03-29-2023,"1,01,185.19","1,02,213.27","1,00,247.89","1,01,792.52",,
03-28-2023,"99,672.17","1,01,559.17","99,488.19","1,01,185.09",,
03-27-2023,"98,833.08","99,996.57","98,833.08","99,670.47",,
03-24-2023,"97,926.14","99,258.43","97,687.66","98,829.27",,
03-23-2023,"1,00,221.10","1,01,125.76","96,996.84","97,926.34",,
03-22-2023,"1,00,997.54","1,01,887.72","1,00,128.79","1,00,220.63",,
03-21-2023,"1,00,922.79","1,01,670.35","1,00,922.79","1,00,998.13",,
03-20-2023,"1,01,981.53","1,02,328.44","1,00,678.84","1,00,922.89",,
03-17-2023,"1,03,433.65","1,03,433.65","1,01,663.65","1,01,981.53",,
03-16-2023,"1,02,682.65","1,03,911.26","1,02,454.77","1,03,434.66",,
03-15-2023,"1,02,929.70","1,03,048.28","1,00,692.04","1,02,675.45",,
03-14-2023,"1,03,121.36","1,04,153.48","1,02,482.23","1,02,932.38",,
03-13-2023,"1,03,607.98","1,03,906.78","1,02,254.72","1,03,121.36",,
03-10-2023,"1,05,071.19","1,05,071.19","1,03,201.41","1,03,618.20",,
03-09-2023,"1,06,539.92","1,06,723.99","1,05,053.24","1,05,071.19",,
03-08-2023,"1,04,227.93","1,06,721.24","1,04,227.93","1,06,540.32",,
03-07-2023,"1,04,700.02","1,05,178.55","1,03,480.42","1,04,227.93",,
