Date,Open,High,Low,Close,Volume
08/17/2023,"100.20","100.83","99.86","100.20","311,471"
08/16/2023,"101.12","101.87","99.98","100.12","193,696"
08/15/2023,"101.87","102.14","100.80","101.07","308,757"
08/14/2023,"102.97","102.97","101.54","102.09","340,036"
08/11/2023,"102.48","103.03","102.15","102.88","340,557"
08/10/2023,"102.78","103.95","101.96","102.22","424,126"
08/09/2023,"102.09","102.92","101.73","102.64","408,883"
08/08/2023,"100.76","102.25","99.88","101.78","666,301"
08/07/2023,"99.37","101.33","99.37","101.15","394,317"
08/04/2023,"99.53","99.53","98.41","98.98","493,445"
08/03/2023,"100.10","100.10","97.75","99.11","403,851"
08/02/2023,"100.87","101.46","100.55","100.73","227,992"
08/01/2023,"100.40","101.56","100.16","101.21","311,611"
07/31/2023,"99.95","100.93","99.88","100.92","257,305"
07/28/2023,"100.07","100.34","99.33","99.89","268,427"
07/27/2023,"99.87","99.87","98.33","99.27","384,085"
07/26/2023,"99.64","100.62","99.43","99.95","1,370,408"
07/25/2023,"99.40","100.59","99.18","100.01","499,337"
07/24/2023,"99.51","100.44","99.20","99.66","362,829"
07/21/2023,"99.30","100.33","99.02","99.38","445,422"
07/20/2023,"99.46","99.77","98.73","99.22","249,177"
07/19/2023,"97.22","99.34","97.22","98.83","405,575"
07/18/2023,"97.28","98.49","97.28","97.68","254,909"
07/17/2023,"97.50","97.93","97.33","97.49","252,939"
07/14/2023,"98.14","98.14","96.82","97.51","303,580"
07/13/2023,"98.26","98.39","97.33","97.94","370,921"
07/12/2023,"98.99","99.11","97.83","98.76","324,119"
07/11/2023,"96.82","98.42","96.82","98.15","407,774"
07/10/2023,"94.74","97.21","94.64","96.82","538,594"
07/07/2023,"94.20","96.25","94.20","95.45","573,065"
07/06/2023,"94.73","95.19","93.47","94.41","477,218"
07/05/2023,"94.72","96.09","94.55","95.21","464,828"
07/03/2023,"95.24","95.93","94.63","95.73","252,393"
06/30/2023,"96.22","96.32","94.96","95.28","548,116"
06/29/2023,"92.93","95.69","92.01","94.29","765,721"
06/28/2023,"97.07","97.07","95.74","95.95","669,264"
06/27/2023,"96.30","97.46","96.10","97.00","511,536"
06/26/2023,"96.16","97.33","96.10","96.15","449,304"
